order_id,customer_id,product_id,quantity,discount,order_date
ORD007412,CUST00025,PROD00517,6,0.0,2023-01-06
ORD008139,CUST00940,PROD00142,14,0.0,2022-06-17
ORD008103,CUST00135,PROD00058,1,0.0,2023-06-29
ORD008569,CUST00122,PROD00110,7,0.1,2024-06-14
ORD009465,CUST00866,PROD00155,2,0.0,2023-07-31
ORD010273,CUST00701,PROD00298,2,0.15,2024-08-03
ORD005170,CUST00457,PROD00367,11,0.0,2022-04-07
ORD004157,CUST00116,PROD00089,8,0.0,2023-01-17
ORD005020,CUST00379,PROD00156,9,0.05,2023-02-06
ORD007424,CUST00312,PROD00364,7,0.2,2024-10-20
ORD001057,CUST00343,PROD00256,4,0.0,2024-02-08
ORD005332,CUST01040,PROD00033,13,0.1,2024-08-24
ORD003245,CUST00253,PROD00175,10,,2023-07-11
ORD009585,CUST00655,PROD00308,5,0.2,2022-08-28
ORD006654,CUST00882,PROD00398,1,0.3,2023-05-23
ORD003406,CUST00872,PROD00157,9,0.0,2023-12-22
ORD003910,CUST00257,PROD00077,,0.2,2023-07-29
ORD001596,CUST00333,PROD00178,11,0.1,2024-02-09
ORD004930,CUST00093,PROD00331,2,0.0,2024-11-04
ORD007890,CUST99108,PROD00067,13,0.1,2022-05-27
ORD005169,CUST00390,PROD99979,8,0.0,2024-02-05
ORD002992,CUST00873,PROD00208,8,0.0,2024-07-18
ORD009086,CUST00941,PROD00118,10,0.0,2022-11-17
ORD000928,CUST00370,PROD00235,,0.15,2024-07-11
ORD002493,CUST99360,PROD00382,11,0.1,2024-05-28
ORD008141,CUST00546,PROD00286,10,0.05,2022-10-09
ORD005958,CUST01050,PROD00317,4,0.0,2023-05-08
ORD000034,CUST00808,PROD00063,2,0.2,2023-10-30
ORD006464,CUST00993,PROD00225,13,0.0,2023-09-04
ORD000488,CUST00145,PROD00411,4,0.05,2024-07-19
ORD010029,CUST00571,PROD00099,8,,2024-06-22
ORD002593,CUST00485,PROD00384,2,0.05,2022-06-09
ORD005383,CUST00802,PROD00280,5,0.05,2024-10-03
ORD005675,CUST00239,PROD00161,12,0.0,2022-06-17
ORD010478,CUST00679,PROD00412,2,0.05,2023-05-06
ORD007872,CUST00594,PROD00520,3,0.0,2023-03-19
ORD004023,CUST00405,PROD00035,6,0.0,2023-09-29
ORD007608,CUST00746,PROD00393,6,0.1,2024-11-12
ORD001794,CUST00443,PROD00203,11,0.25,2024-10-12
ORD005091,CUST00230,PROD00452,14,0.05,2023-08-02
ORD008912,CUST00687,PROD00160,14,0.0,2024-04-29
ORD005710,CUST00944,PROD00051,14,0.1,2024-08-12
ORD005031,CUST00385,PROD00036,10,0.05,2024-08-02
ORD000544,CUST00903,PROD00294,9,0.05,2024-05-24
ORD001218,CUST00810,PROD00112,7,0.1,2023-04-19
ORD009632,CUST00836,PROD00367,13,0.1,2022-01-23
ORD002389,CUST00660,PROD00484,1,0.0,2023-03-25
ORD005774,CUST00833,PROD00481,1,,2023-12-11
ORD010362,CUST00322,PROD00479,9,0.0,2024-05-15
ORD003464,CUST00312,PROD00401,14,0.1,2024-12-17
ORD001884,CUST00552,PROD00486,2,0.05,2023-01-01
ORD005821,CUST00510,PROD00410,7,0.05,2022-05-04
ORD004554,CUST00208,PROD00468,12,0.1,2023-07-27
ORD010243,CUST00767,PROD00091,13,0.1,2024-02-23
ORD008817,CUST00061,PROD00422,2,0.15,2023-08-14
ORD009728,CUST00061,PROD00142,11,0.0,2023-11-02
ORD010152,CUST00413,PROD00395,1,0.0,2022-02-05
ORD001143,CUST00625,PROD00338,7,0.05,2024-03-29
ORD001499,CUST00098,PROD00353,7,0.3,2023-11-07
ORD006984,CUST00036,PROD00127,8,0.15,2024-01-25
ORD000036,CUST00925,PROD00039,13,0.0,2023-03-03
ORD005799,CUST00738,PROD00021,6,0.1,2023-01-21
ORD000959,CUST00866,PROD00090,6,0.0,2023-01-23
ORD001672,CUST00206,PROD00085,14,0.0,2024-03-14
ORD006759,CUST00365,PROD00006,9,0.05,2022-04-05
ORD005737,CUST00970,PROD00511,3,,2022-09-03
ORD008135,CUST00293,PROD00314,12,0.3,2023-10-27
ORD005126,CUST00417,PROD00478,4,0.2,2023-12-11
ORD006323,CUST00326,PROD00500,11,0.0,2022-06-21
ORD000361,CUST00988,PROD00167,10,0.0,2023-01-30
ORD002393,CUST00497,PROD00132,3,0.05,2022-07-20
ORD003315,CUST00591,PROD00448,1,0.0,2023-12-11
ORD005581,CUST00185,PROD00204,7,0.0,2022-12-13
ORD008010,CUST00342,PROD00250,13,0.15,2024-08-14
ORD003964,CUST00041,PROD00094,11,0.15,2023-01-15
ORD005617,CUST00325,PROD00397,1,0.0,2024-02-20
ORD003469,CUST00014,PROD00324,4,0.2,2022-11-12
ORD000484,CUST00950,PROD00011,1,0.0,2022-02-20
ORD008744,CUST00215,PROD00337,10,0.0,2022-12-24
ORD008260,CUST00135,PROD00216,5,0.1,2023-07-07
ORD000102,CUST00649,PROD00389,4,0.1,2024-10-09
ORD005937,CUST00547,PROD00515,10,0.0,2022-12-15
ORD007765,CUST00098,PROD00435,2,0.1,2024-09-26
ORD006596,CUST00226,PROD00457,5,,2024-09-05
